name,total_hg19_counts,total_mm10_counts,unique_hg19_genes,unique_mm10_genes,hg19_unique_count_ratio,mm10_unique_count_ratio,hg19_multiplet,mm10_multiplet,hg19_mm10_multiplet,Multiplet,Multiplet_Type,Droplet_Contents
alignments.possorted.tagged_BC01593_N03,6277,55,5587,55,0.986683318031997,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01594_N01,26,4394,26,4008,1,0.989038190007609,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01595_N06,33,10503,32,8763,0.991199315852803,0.980439088764722,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01596_N02,5907,44,5346,44,0.988508671584562,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01597_N02,3601,43,3371,42,0.991940112896561,0.993743885811336,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01598_N02,15,5375,14,4842,0.974523045599793,0.987842069145574,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01599_N02,4159,26,3897,26,0.992191599589259,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01600_N02,14,6088,14,5556,1,0.989506494180799,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01601_N03,34,6528,33,5894,0.991534341726749,0.988368919692167,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01602_N03,41,8643,41,7517,1,0.984601186473017,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01603_N02,4506,38,4208,37,0.991867226472957,0.992668696792005,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01604_N06,5473,47,5009,47,0.989707839458396,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01605_N03,65,9243,65,7810,1,0.981551848252631,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01606_N02,24,4662,24,4340,1,0.991527347046387,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01607_N03,6511,58,5924,57,0.989240577846824,0.995716786895741,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01608_N03,11,5679,11,5091,1,0.987356064423015,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01609_N01,19,4071,19,3826,1,0.992532307821732,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01610_N03,7195,62,6440,62,0.98751761823256,1,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01611_N02,27,5620,25,5083,0.976649013811952,0.988368193868657,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01612_N03,30,7904,29,7021,0.990032465666808,0.98680092896207,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01613_N03,5976,53,5430,51,0.988981399601563,0.990311472892838,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01614_N04,6651,74,6085,73,0.98989602209138,0.996838883297267,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01615_N02,3298,49,3114,49,0.992913511415929,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01616_N04,35,8869,35,7566,1,0.982520134509498,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01617_N03,37,7575,35,6739,0.984610602484143,0.986908437359086,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01618_N04,28,9569,28,8011,1,0.980612305942097,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01619_N02,15,4175,14,3921,0.974523045599793,0.992471078747362,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01620_N01,2542,55,2445,54,0.995037940767219,0.995421109795458,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01621_N03,6482,42,5818,42,0.987686544419727,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01622_N02,20,6278,20,5746,1,0.989874276182235,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01623_N01,3094,27,2943,27,0.993774553551387,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01624_N02,3847,34,3563,33,0.99070983854246,0.991534341726749,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01625_N02,4345,46,4040,46,0.991311571065694,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01626_N04,4156,51,3864,51,0.991256905792822,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01627_N01,15,4190,14,3900,0.974523045599793,0.991400448526151,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01628_N02,29,5276,29,4774,1,0.98833454682252,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01629_N03,36,7315,32,6601,0.967132018086354,0.988457007325362,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01630_N02,17,5646,17,5029,1,0.986603755461682,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01631_N02,19,6524,19,5777,1,0.98615509459756,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01632_N02,35,8155,34,7100,0.991846779451149,0.984617976166787,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01633_N03,33,10053,33,8482,1,0.981561228783543,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01634_N03,2993,282,2854,271,0.994058655345214,0.992947730340444,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01635_N03,4579,46,4219,43,0.99028589288742,0.982385062007276,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01636_N02,5458,35,4924,35,0.988034496693788,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01637_N02,6,4832,6,4460,1,0.990556224689478,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01638_N02,4019,46,3768,46,0.992229135665625,1,FALSE,FALSE,FALSE,FALSE,Singlet,Human
alignments.possorted.tagged_BC01639_N03,5537,70,4844,67,0.984486740505893,0.989689850132146,TRUE,FALSE,FALSE,TRUE,Human + Human,Human + Human
alignments.possorted.tagged_BC01640_N03,29,6461,28,5849,0.989578783218637,0.988657553837209,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01641_N02,23,5772,23,5236,1,0.988746872535247,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01642_N02,14,5043,14,4642,1,0.990281702743959,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01643_N02,25,6021,25,5522,1,0.990059386520435,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01644_N05,35,10131,35,8288,1,0.978230119319233,FALSE,TRUE,FALSE,TRUE,Mouse + Mouse,Mouse + Mouse
alignments.possorted.tagged_BC01645_N01,23,3534,23,3344,1,0.993236055944999,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
alignments.possorted.tagged_BC01646_N04,26,7267,26,6302,1,0.983975376833199,FALSE,FALSE,FALSE,FALSE,Singlet,Mouse
